name,url,url_tco,fuel,drive,power,acceleration,fuel_rate,price,cost_with_kasko,cost_without_kasko
KIA Ceed хэтчбек 1.6 AT Prestige,https://quto.ru/Kia/Ceed/III/ceed_5d/16AT_Prestige/,https://quto.ru/Kia/Ceed/III/ceed_5d/16AT_Prestige/tco,бензин,передний,128,11.5,7.3,1179900,290120,290120
KIA Cerato 1.6 MT Comfort,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16MT_Comfort/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16MT_Comfort/tco,бензин,передний,130,10.1,6.7,989900,627140,349259
KIA Cerato 1.6 MT Luxe,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16MT_Luxe/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16MT_Luxe/tco,бензин,передний,130,10.1,6.7,1034900,639788,349259
KIA Cerato 1.6 AT Comfort,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Comfort/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Comfort/tco,бензин,передний,130,11.6,7,1034900,649913,359384
KIA Cerato 1.6 AT Luxe,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Luxe/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Luxe/tco,бензин,передний,130,11.6,7,1074900,661133,359384
KIA Cerato 1.6 AT Prestige,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Prestige/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/16AT_Prestige/tco,бензин,передний,130,11.6,7,1154900,683573,359384
KIA Cerato 2.0 AT Luxe,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Luxe/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Luxe/tco,бензин,передний,150,9.3,7.4,1124900,693705,377948
KIA Cerato 2.0 AT Prestige,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Prestige/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Prestige/tco,бензин,передний,150,9.3,7.4,1204900,716145,377948
KIA Cerato 2.0 AT Premium,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Premium/,https://quto.ru/Kia/Cerato/IIIf/sedan4d/20AT_Premium/tco,бензин,передний,150,9.3,7.4,1284900,738653,377948
Lifan Murman 1.8 MT Elegance,https://quto.ru/Lifan/Murman/I/sedan4d/18MT/,https://quto.ru/Lifan/Murman/I/sedan4d/18MT/tco,бензин,передний,128,н. д.,7.7,989900,325520,325520
Lifan Murman 1.8 MT Elegance,https://quto.ru/Lifan/Murman/I/sedan4d/18MT/,https://quto.ru/Lifan/Murman/I/sedan4d/18MT/tco,бензин,передний,128,н. д.,7.7,949900,325520,325520
Lifan Murman 1.8 MT Prestige,https://quto.ru/Lifan/Murman/I/sedan4d/18MT_Prestige/,https://quto.ru/Lifan/Murman/I/sedan4d/18MT_Prestige/tco,бензин,передний,128,н. д.,7.7,1039900,325520,325520
Ford EcoSport 1.6 MT 2WD Trend,https://quto.ru/Ford/EcoSport/II/suv5d/16MT2WD_Trend/,https://quto.ru/Ford/EcoSport/II/suv5d/16MT2WD_Trend/tco,бензин,передний,122,12.5,6.6,1042000,267545,267545
Ford EcoSport 1.6 MT 2WD Trend Plus,https://quto.ru/Ford/EcoSport/II/suv5d/16MT2WD_TrendPlus/,https://quto.ru/Ford/EcoSport/II/suv5d/16MT2WD_TrendPlus/tco,бензин,передний,122,12.5,6.6,1158000,267545,267545
Ford EcoSport 1.6 Powershift 2WD Trend,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_Trend/,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_Trend/tco,бензин,передний,122,12.5,6.9,1123000,276770,276770
Ford EcoSport 1.6 Powershift 2WD Trend Plus,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_TrendPlus/,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_TrendPlus/tco,бензин,передний,122,12.5,6.9,1218000,276770,276770
Ford EcoSport 1.6 Powershift 2WD Titanium Plus,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_TitaniumPlus/,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_TitaniumPlus/tco,бензин,передний,122,12.5,6.9,1348000,276770,276770
Ford EcoSport 1.6 Powershift 2WD Titanium,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_Titanium/,https://quto.ru/Ford/EcoSport/II/suv5d/16Powershift2WD_Titanium/tco,бензин,передний,122,12.5,6.9,1278000,276770,276770
Ford EcoSport 2.0 MT 4WD Trend Plus,https://quto.ru/Ford/EcoSport/II/suv5d/20MT4WD_TrendPlus/,https://quto.ru/Ford/EcoSport/II/suv5d/20MT4WD_TrendPlus/tco,бензин,полный,140,11.5,8.3,1258000,322970,322970
KIA Rio седан 1.4 MT Classic,https://quto.ru/Kia/Rio/IV/sedan4d/14MT/,https://quto.ru/Kia/Rio/IV/sedan4d/14MT/tco,бензин,передний,100,12.2,5.7,739900,475908,270668
KIA Rio седан 1.4 MT Classic Аудио,https://quto.ru/Kia/Rio/IV/sedan4d/14MT_ClassicAudio/,https://quto.ru/Kia/Rio/IV/sedan4d/14MT_ClassicAudio/tco,бензин,передний,100,12.2,5.7,774900,485658,270668
KIA Rio седан 1.4 MT Comfort,https://quto.ru/Kia/Rio/IV/sedan4d/14MT_Comfort/,https://quto.ru/Kia/Rio/IV/sedan4d/14MT_Comfort/tco,бензин,передний,100,12.2,5.7,799900,492558,270668
KIA Rio седан 1.4 AT Comfort,https://quto.ru/Kia/Rio/IV/sedan4d/14AT/,https://quto.ru/Kia/Rio/IV/sedan4d/14AT/tco,бензин,передний,100,12.9,6.4,839900,524908,291993
KIA Rio седан 1.6 MT Comfort,https://quto.ru/Kia/Rio/IV/sedan4d/16MT/,https://quto.ru/Kia/Rio/IV/sedan4d/16MT/tco,бензин,передний,123,10.3,6,824900,531099,302234
KIA Rio седан 1.6 MT Luxe,https://quto.ru/Kia/Rio/IV/sedan4d/16MT_Luxe/,https://quto.ru/Kia/Rio/IV/sedan4d/16MT_Luxe/tco,бензин,передний,123,10.3,6,849900,537999,302234
KIA Rio седан 1.6 AT Comfort,https://quto.ru/Kia/Rio/IV/sedan4d/16AT/,https://quto.ru/Kia/Rio/IV/sedan4d/16AT/tco,бензин,передний,123,11.2,6.6,864900,560449,320484
KIA Rio седан 1.6 AT Luxe,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_Luxe/,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_Luxe/tco,бензин,передний,123,11.2,6.6,889900,567349,320484
KIA Rio седан 1.6 AT Prestige,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_PrestigeAV/,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_PrestigeAV/tco,бензин,передний,123,11.2,6.6,989900,595099,320484
KIA Rio седан 1.6 AT Premium,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_Premium/,https://quto.ru/Kia/Rio/IV/sedan4d/16AT_Premium/tco,бензин,передний,123,11.2,6.6,1049900,611674,320484
Geely Atlas 2.0 MT Standard,https://quto.ru/Geely/Atlas/I/suv5d/20MT/,https://quto.ru/Geely/Atlas/I/suv5d/20MT/tco,бензин,передний,139,н. д.,8.5,1049900,354445,354445
Geely Atlas 2.0 MT Comfort,https://quto.ru/Geely/Atlas/I/suv5d/20MT_Comfort/,https://quto.ru/Geely/Atlas/I/suv5d/20MT_Comfort/tco,бензин,передний,139,н. д.,8.5,1179900,354445,354445
Geely Atlas 2.4 AT Comfort,https://quto.ru/Geely/Atlas/I/suv5d/24AT/,https://quto.ru/Geely/Atlas/I/suv5d/24AT/tco,бензин,передний,149,н. д.,9.5,1299900,389945,389945
Geely Atlas 2.4 AT Luxury,https://quto.ru/Geely/Atlas/I/suv5d/24AT_Luxury/,https://quto.ru/Geely/Atlas/I/suv5d/24AT_Luxury/tco,бензин,передний,149,н. д.,9.5,1359990,389945,389945
Geely Atlas 2.4 AT AWD Comfort,https://quto.ru/Geely/Atlas/I/suv5d/24AT_AWD/,https://quto.ru/Geely/Atlas/I/suv5d/24AT_AWD/tco,бензин,полный,149,н. д.,.5,1399990,457445,457445
Geely Atlas 2.4 AT AWD Luxury,https://quto.ru/Geely/Atlas/I/suv5d/24AT_AWD_Luxury/,https://quto.ru/Geely/Atlas/I/suv5d/24AT_AWD_Luxury/tco,бензин,полный,149,н. д.,.5,1459900,457445,457445
Nissan Terrano 1.6 MT 2WD Comfort,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_Comfort_114/,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_Comfort_114/tco,бензин,передний,114,н. д.,н. д.,980000,122775,122775
Nissan Terrano 1.6 MT 2WD Elegance,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_Elegance_114/,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_Elegance_114/tco,бензин,передний,114,н. д.,н. д.,1024000,122775,122775
Nissan Terrano 1.6 MT 2WD Elegance Plus,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_ElegancePlus_114/,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_2WD_ElegancePlus_114/tco,бензин,передний,114,н. д.,н. д.,1054000,122775,122775
Nissan Terrano 1.6 MT 4WD Comfort,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_4WD_Comfort_114/,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_4WD_Comfort_114/tco,бензин,полный,114,н. д.,н. д.,1050000,122775,122775
Nissan Terrano 1.6 MT 4WD Elegance,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_4WD_Elegance_114/,https://quto.ru/Nissan/Terrano/III/suv5d/16MT_4WD_Elegance_114/tco,бензин,полный,114,н. д.,н. д.,1094000,122775,122775
Nissan Terrano 2.0 MT 4WD Elegance,https://quto.ru/Nissan/Terrano/III/suv5d/20MT_4WD_Elegance_114/,https://quto.ru/Nissan/Terrano/III/suv5d/20MT_4WD_Elegance_114/tco,бензин,полный,143,н. д.,н. д.,1154000,138536,138536
Nissan Terrano 2.0 MT 4WD Elegance Plus,https://quto.ru/Nissan/Terrano/III/suv5d/20MT_4WD_ElegancePlus_143/,https://quto.ru/Nissan/Terrano/III/suv5d/20MT_4WD_ElegancePlus_143/tco,бензин,полный,143,н. д.,н. д.,1184000,138536,138536
Nissan Terrano 2.0 AT 4WD Elegance,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_Elegance_143/,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_Elegance_143/tco,бензин,полный,143,н. д.,н. д.,1199000,138536,138536
Nissan Terrano 2.0 AT 4WD Elegance Plus,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_ElegancePlus_143/,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_ElegancePlus_143/tco,бензин,полный,143,н. д.,н. д.,1229000,138536,138536
Nissan Terrano 2.0 AT 4WD Tekna,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_Tekna_143/,https://quto.ru/Nissan/Terrano/III/suv5d/20AT_4WD_Tekna_143/tco,бензин,полный,143,н. д.,н. д.,1269000,138536,138536
