name,url,url_tco,fuel,drive,power,acceleration,fuel_rate,price,cost_with_kasko,cost_without_kasko
LADA Granta седан 1.6 MT Standard,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v/tco,бензин,передний,87,11.6,6.8,419900,386878,253515
LADA Granta седан 1.6 MT Classic,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Classic/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Classic/tco,бензин,передний,87,11.6,6.8,455500,397967,253515
LADA Granta седан 1.6 MT Classic Optima,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_ClassicOptima/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_ClassicOptima/tco,бензин,передний,87,11.6,6.8,481500,406239,253515
LADA Granta седан 1.6 MT Comfort,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Comfort/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Comfort/tco,бензин,передний,87,11.6,6.8,501500,412575,253515
LADA Granta седан 1.6 MT Luxe,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Luxe/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_8v_Luxe/tco,бензин,передний,87,11.6,6.8,538800,424409,253515
LADA Granta седан 1.6 AT Comfort,https://quto.ru/Lada/Granta/If/sedan4d/16AT_98_Comfort/,https://quto.ru/Lada/Granta/If/sedan4d/16AT_98_Comfort/tco,бензин,передний,98,13.1,7.2,581500,451539,267135
LADA Granta седан 1.6 AT Luxe,https://quto.ru/Lada/Granta/If/sedan4d/16AT_98_Luxe/,https://quto.ru/Lada/Granta/If/sedan4d/16AT_98_Luxe/tco,бензин,передний,98,13.1,7.2,608800,460205,267135
LADA Granta седан 1.6 MT Comfort,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106/tco,бензин,передний,106,10.5,6.5,516500,419302,255490
LADA Granta седан 1.6 MT Luxe,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106_Luxe/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106_Luxe/tco,бензин,передний,106,10.5,6.5,553800,431136,255490
LADA Granta седан 1.6 MT Luxe Prestige,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106_LuxePrestige/,https://quto.ru/Lada/Granta/If/sedan4d/16MT_106_LuxePrestige/tco,бензин,передний,106,10.5,6.5,572800,437120,255490
LADA Granta седан 1.6 AMT Classic Optima,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_ClassicOptima/,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_ClassicOptima/tco,бензин,передний,106,12,6.5,521500,420886,255490
LADA Granta седан 1.6 AMT Comfort,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_Comfort/,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_Comfort/tco,бензин,передний,106,12,6.5,541500,427222,255490
LADA Granta седан 1.6 AMT Luxe,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_Luxe/,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_Luxe/tco,бензин,передний,106,12,6.5,578800,439056,255490
LADA Granta седан 1.6 AMT Luxe Prestige,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_LuxePrestige/,https://quto.ru/Lada/Granta/If/sedan4d/16AMT_106_LuxePrestige/tco,бензин,передний,106,12,6.5,597800,445040,255490
LADA Granta лифтбек 1.6 MT Standard,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v/,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v/tco,бензин,передний,87,11.8,6.8,436900,392070,253515
LADA Granta лифтбек 1.6 MT Classic,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v_Classic/,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v_Classic/tco,бензин,передний,87,11.8,6.8,470500,402631,253515
LADA Granta лифтбек 1.6 MT Classic Optima,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v_ClassicOptima/,https://quto.ru/Lada/Granta/If/hatchback5d/16MT_8v_ClassicOptima/tco,бензин,передний,87,11.8,6.8,496500,410991,253515
